"","cov.name","neg.1","zero","response"
"1",NA,NA,NA,NA
"2","X",0.838408375254127,0.94738559630837,1
"3","ENSO",-0.193994126689307,-0.228386814585055,1
"4","NPGO",0.199599756252988,0.268868405506076,1
"5","NPI",0.113440731341852,0.140299423431265,1
"6","PDO",-0.428788893651154,-0.481106306130827,1
"7","AnnSST",0.240210916811994,0.323048846958736,1
"8","WinSST",0.0337847021052166,0.0375173005754015,1
"9","PcodSSB",-0.285111864471804,-0.303639997064787,1
"10","ArrowSSB",-0.707905147654395,-0.796364054562895,1
"11","PollSSB",0.787399055425179,0.904070134082768,1
"12","X",0.233321917075892,0.277029903679266,2
"13","ENSO",-0.111992910997977,-0.0386684603600671,2
"14","NPGO",0.394700037845102,0.411634609765051,2
"15","NPI",-0.219843776468046,-0.0665038606949284,2
"16","PDO",-0.108226583993338,0.152501075645651,2
"17","AnnSST",0.122726091509381,0.252650040646227,2
"18","WinSST",-0.201997614147241,0.0909813873912254,2
"19","PcodSSB",-0.269050130839456,-0.325574695828958,2
"20","ArrowSSB",-0.287482480464598,-0.326255482060703,2
"21","PollSSB",0.263915935388284,0.301070062884762,2
"22","X",-0.181219104980164,-0.332128971891505,3
"23","ENSO",-0.125980182824863,0.140095049086074,3
"24","NPGO",0.295227987786259,0.113627963835691,3
"25","NPI",0.164388212270038,0.0473257007721498,3
"26","PDO",-0.165967813057687,0.00644092344119691,3
"27","AnnSST",-0.0545595269689257,-0.0937223672206992,3
"28","WinSST",-0.135297396947537,-0.0605641990705261,3
"29","PcodSSB",-0.307707946611553,-0.336324427756105,3
"30","ArrowSSB",-0.0156049562562274,0.0818930568355871,3
"31","PollSSB",-0.0857812396295998,-0.238601826266253,3
"32","X",0.429262450403717,0.473373355355067,4
"33","ENSO",-0.112484956211907,-0.285893445494805,4
"34","NPGO",0.152896590755132,0.23790200272439,4
"35","NPI",0.142451812112266,-0.00947275814903291,4
"36","PDO",-0.386461905126666,-0.223990439459674,4
"37","AnnSST",0.168563731804575,0.34869444841551,4
"38","WinSST",-0.0201578107761816,0.107976807127944,4
"39","PcodSSB",-0.072600394122669,-0.0717443972722436,4
"40","ArrowSSB",-0.291897620560569,-0.355422347876697,4
"41","PollSSB",0.383166336177183,0.435489769587923,4
