"","R","m","logLik","AICc","converg","delta.AICc","Ak.wt","Ak.wt.cum"
"10","equalvarcov",2,-1543.53856012274,3260.95905226695,0,0,0.999918598184422,0.999918598184422
"9","equalvarcov",1,-1596.65647283874,3280.43481257464,0,19.4757603076828,5.90006817541474e-05,0.999977598866176
"2","diagonal and equal",2,-1555.564978637,3282.71172671101,0,21.7526744440534,1.88986772115372e-05,0.999996497543388
"11","equalvarcov",3,-1510.81956319611,3286.08357083666,0,25.1245185697103,3.50142443797895e-06,0.999999998967826
"3","diagonal and equal",3,-1520.23050543572,3302.44065934507,10,41.4816070781185,9.82535201637654e-10,0.999999999950361
"12","equalvarcov",4,-1474.72533635212,3308.41519811173,10,47.4561458447715,4.95442786747919e-11,0.999999999999905
"1","diagonal and equal",1,-1618.03665367962,3321.04740062349,0,60.0883483565331,8.95252592317203e-14,0.999999999999995
"6","diagonal and unequal",2,-1531.51397769827,3327.47239984098,0,66.5133475740276,3.60391661529551e-15,0.999999999999998
"7","diagonal and unequal",3,-1483.85671426576,3329.32571260063,10,68.3666603336719,1.42670105262993e-15,1
"4","diagonal and equal",4,-1488.48601134687,3333.29386177421,0,72.3348095072529,1.96182532700408e-16,1
"8","diagonal and unequal",4,-1447.57121948584,3358.42602106123,10,97.4669687942765,6.84354754149913e-22,1
"5","diagonal and unequal",1,-1604.51682255873,3380.61541455446,0,119.656362287501,1.03971836018676e-26,1
