"year","IchSR","IchSW","IchSimp"
1,6.09849466729985,1.69398876351405,4.48590206777513
2,4.27176955203128,5.769030808,1.3714615429676
3,5.71279892817935,3.20234180625936,1.94954369436134
4,NA,NA,NA
5,4.71134224496219,7.41208232541159,1.24147164012981
6,NA,NA,NA
7,4.22142241135427,3.96599877085567,1.4599791977089
8,8.29062853451303,10.4049372133687,1.18469849360797
9,6.91691275996691,3.79367954404681,1.84015080934852
10,6.16294460432491,4.75341271828577,1.39929006471143
11,8.94511461262321,4.10366792041116,1.72467868073613
12,7.89317497944411,3.80405528070899,1.79584421358369
13,5.88733632086608,5.52480317914563,1.37491786808589
14,7.0452162977938,7.87095917516808,1.30254387952393
15,8.029602341546,2.92747456827125,2.48397140932009
16,8.43386221955135,4.08260868147005,1.85841444582849
17,7.86086058191053,3.49864255833159,2.0445455821615
18,6.46873083703151,7.67601854147401,1.2378399231851
19,5.87611406088603,7.25277707194118,1.33552399374818
20,8.79122074879591,3.85980376671211,1.91967983613198
21,10.7308914115905,8.93338551875926,1.1939543059695
22,6.52206746675282,6.02917976310387,1.36859215242947
23,7.46902104234723,6.55955813307864,1.25945219349578
24,6.2626689300758,11.1972988274363,1.15437645708851
25,6.96620139832609,8.74592244394112,1.21815569777149
26,8.79126698367343,4.79731476528476,1.666599498626
27,7.9747280238116,7.43861959935859,1.2724519578156
28,7.70160652688374,6.46881856816049,1.35625797024121
29,6.85719820243796,4.26293756583934,1.66783168391072
30,8.20361949192603,4.76002542707356,1.4883229809719
31,7.50130349628605,5.96900267621503,1.34852620130387
32,NA,NA,NA
33,8.26469507150984,1.71338046616467,5.50813007654366
